Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Total,Timeframe
Alabama,3129700,1234700,181200,49000,20700,N/A,58900,4676000,2011
Alaska,441500,19900,40600,38400,97200,6900,52600,697100,2011
Arizona,3634700,235400,1899500,172200,256500,10200,116100,6324500,2011
Arkansas,2122800,439500,185400,33400,14900,7000,46500,2849500,2011
California,14577300,2039700,14094900,4844800,140300,128300,1037400,36862800,2011
Colorado,3482600,181500,1043800,136400,24600,5100,109900,4983900,2011
Connecticut,2455800,327100,479900,133800,3700,N/A,65400,3466400,2011
Delaware,575000,180900,74700,29000,2400,N/A,18000,880100,2011
District of Columbia,2.00E+05,292900,57000,20000,1500,N/A,12500,583900,2011
Florida,10693800,2809300,4286500,442700,39100,11000,331700,18614200,2011
Georgia,5302500,2857000,854400,313300,16100,N/A,168800,9517400,2011
Hawaii,286600,18900,119800,503300,N/A,116300,264900,1311900,2011
Idaho,1297600,7400,175200,18500,18700,N/A,29000,1547300,2011
Illinois,7939200,1763600,2048900,584200,11500,N/A,204300,12553800,2011
Indiana,5144100,552200,387400,96000,9100,N/A,127700,6317100,2011
Iowa,2625700,75800,149200,53600,10100,N/A,49000,2963800,2011
Kansas,2162200,149400,297100,61100,16300,N/A,84600,2772200,2011
Kentucky,3651500,326500,125800,48300,5100,N/A,70100,4227900,2011
Louisiana,2679200,1401300,188900,68900,25200,N/A,63600,4431200,2011
Maine,1221000,14600,14500,15100,6700,N/A,20000,1292200,2011
Maryland,3077300,1643100,476500,323500,11000,1000,136300,5668600,2011
Massachusetts,4829700,389700,628900,353100,8600,N/A,149600,6360600,2011
Michigan,7393300,1329400,436400,234700,50500,N/A,209800,9655100,2011
Minnesota,4328600,258100,249600,210300,48400,N/A,126300,5222300,2011
Mississippi,1671900,1073100,72800,25300,10800,N/A,24700,2878500,2011
Missouri,4719700,643900,206000,93300,19300,N/A,136700,5823500,2011
Montana,851200,N/A,27900,5300,64500,N/A,19600,971600,2011
Nebraska,1460300,73300,168200,32100,14900,N/A,33300,1782300,2011
Nevada,1431200,204200,726600,190100,25100,16700,81800,2675800,2011
New Hampshire,1177800,11400,36000,29600,1600,N/A,21700,1278200,2011
New Jersey,5074800,1073400,1575400,729400,11000,N/A,173300,8638700,2011
New Mexico,817500,31600,954900,22900,174500,N/A,34100,2036500,2011
New York,10958200,2709900,3419900,1409900,46800,2800,393000,18940500,2011
North Carolina,6087000,1977200,805700,205600,102600,4000,170900,9353100,2011
North Dakota,582700,5000,14200,6300,35700,N/A,13000,657100,2011
Ohio,9115300,1321700,349300,186300,14100,2000,235900,11224600,2011
Oklahoma,2507900,257900,337900,58400,247700,4.20E+03,250800,3664800,2011
Oregon,2959400,62900,457900,144800,42700,13800,112000,3793500,2011
Pennsylvania,9791700,1247500,717300,342600,13500,N/A,205000,12318300,2011
Rhode Island,766700,49900,130600,29600,2900,N/A,27400,1007400,2011
South Carolina,2902500,1245000,231400,58800,12200,N/A,66900,4519500,2011
South Dakota,669800,8700,21800,7700,68000,N/A,15400,791400,2011
Tennessee,4712300,1025600,288600,86000,10900,N/A,106200,6230500,2011
Texas,11185300,2800200,9596100,972100,63100,13800,375600,25006100,2011
Utah,2215000,27400,364700,54100,27300,22800,56200,2767500,2011
Vermont,566100,4100,7300,7800,2400,N/A,12100,599800,2011
Virginia,5025800,1471200,624900,440600,17900,4500,198900,7783700,2011
Washington,4795000,216600,769000,492000,78500,36300,267000,6654400,2011
West Virginia,1686800,51700,18500,10100,2700,N/A,32200,1802200,2011
Wisconsin,4623500,329100,333100,129100,41600,N/A,91800,5549900,2011
Wyoming,473500,4400,49500,4300,9700,N/A,10000,551600,2011
Puerto Rico,25600,N/A,3637000,N/A,N/A,N/A,5200,3671700,2011
