Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Total,Timeframe
Alabama,3136100,1232900,184500,53500,17900,N/A,79400,4705800,2013
Alaska,441000,23600,44100,35500,97400,9800,53800,705100,2013
Arizona,3675000,249900,1951200,186000,250800,8400,144400,6465700,2013
Arkansas,2116100,442400,197600,35000,16200,N/A,60400,2868600,2013
California,14572300,2061400,14441900,5083300,131100,123000,1098300,37511300,2013
Colorado,3558300,183600,1079700,147000,23200,5500,132900,5130200,2013
Connecticut,2419300,333500,508100,141500,3900,N/A,72200,3479000,2013
Delaware,577900,184300,79600,33700,2800,N/A,19900,898500,2013
District of Columbia,214500,296700,63500,19100,N/A,N/A,15600,610300,2013
Florida,10748400,2897800,4549700,489900,39300,7800,360400,19093200,2013
Georgia,5316200,2948800,876600,342400,16400,3100,187300,9690900,2013
Hawaii,289000,20400,127800,509500,N/A,118900,264700,1331500,2013
Idaho,1317000,7000,186300,24700,15800,N/A,29000,1580900,2013
Illinois,7898400,1739200,2081000,613000,14500,2400,222600,12571100,2013
Indiana,5138600,557200,410400,114400,8100,N/A,134600,6366500,2013
Iowa,2619700,95100,162100,58900,6600,N/A,45100,2990300,2013
Kansas,2162900,156400,311400,67100,19600,N/A,77800,2796500,2013
Kentucky,3664400,325700,134500,49900,7600,N/A,77200,4260900,2013
Louisiana,2684600,1427300,207900,71700,24600,N/A,66300,4483200,2013
Maine,1215800,12400,16200,12800,7600,N/A,26800,1291900,2013
Maryland,3067400,1665700,522900,344600,13800,N/A,151400,5767500,2013
Massachusetts,4828400,404300,680700,363500,8100,N/A,165300,6451500,2013
Michigan,7363300,1312200,455000,258400,41400,N/A,231900,9664300,2013
Minnesota,4334600,280900,255900,235500,55400,N/A,124200,5287800,2013
Mississippi,1664000,1085700,72800,27400,10500,N/A,28500,2889200,2013
Missouri,4719900,655700,220500,96400,19100,N/A,137800,5853100,2013
Montana,861800,N/A,31200,6700,63200,N/A,20700,986300,2013
Nebraska,1465800,83600,179700,32200,10900,N/A,38700,1811200,2013
Nevada,1432400,216800,756500,212300,23900,17700,85800,2745400,2013
New Hampshire,1174500,10000,40100,30800,2300,N/A,23000,1280700,2013
New Jersey,5011800,1082400,1658100,782300,8900,N/A,172500,8716900,2013
New Mexico,803000,33400,964500,25500,177200,N/A,35400,2040200,2013
New York,10889900,2716400,3525400,1504300,45900,5800,431900,19119600,2013
North Carolina,6141200,2001700,839000,233400,102800,N/A,201300,9522500,2013
North Dakota,606300,11100,15800,7000,38500,N/A,14400,693500,2013
Ohio,9063000,1329300,366300,203100,12300,3400,262200,11239600,2013
Oklahoma,2521400,260100,357200,62900,286800,N/A,237700,3726900,2013
Oregon,2985100,62000,473500,149900,36000,14400,130800,3851600,2013
Pennsylvania,9704800,1283000,771900,364900,13200,N/A,205100,12344300,2013
Rhode Island,751900,52000,139200,29800,3800,N/A,31400,1008600,2013
South Carolina,2964300,1254800,242000,60900,13200,N/A,78300,4616200,2013
South Dakota,678900,13100,25900,8200,66400,N/A,19200,811600,2013
Tennessee,4741900,1051300,303200,93100,14200,2700,112300,6318700,2013
Texas,11329100,2922400,9947800,1065300,58900,16500,433100,25773000,2013
Utah,2267600,26900,380000,63400,28200,24300,58900,2849400,2013
Vermont,567200,6000,9000,8000,1600,N/A,10900,602700,2013
Virginia,5067700,1479900,680500,471600,12900,5200,228000,7945700,2013
Washington,4827300,230900,810500,525000,78200,39800,285900,6797800,2013
West Virginia,1676500,53600,21900,10000,N/A,N/A,33800,1798200,2013
Wisconsin,4620800,332800,354300,135800,44100,N/A,103000,5592500,2013
Wyoming,482300,7200,49700,4600,10200,N/A,13000,567300,2013
Puerto Rico,21500,2100,3550700,N/A,N/A,N/A,6300,3582000,2013
