Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Total,Timeframe
Alabama,3133000,1212100,176400,49300,23000,N/A,57200,4651400,2010
Alaska,439300,20500,37900,35500,98500,5200,47700,684600,2010
Arizona,3628600,236200,1857400,165900,252000,11500,105200,6256900,2010
Arkansas,2113800,443000,178300,32300,17600,4700,44300,2834000,2010
California,14600800,2042700,13825100,4777200,145000,125500,999300,36515700,2010
Colorado,3452800,172400,1016300,129900,24200,4900,115600,4916200,2010
Connecticut,2467300,319600,467300,128000,4300,N/A,75700,3463700,2010
Delaware,572100,180200,71900,26700,N/A,N/A,18100,871700,2010
District of Columbia,191200,293800,53600,19100,N/A,N/A,10800,570200,2010
Florida,10650200,2744700,4186400,438400,38100,9200,331900,18398800,2010
Georgia,5276300,2833000,833600,304200,17000,1500,149000,9414700,2010
Hawaii,282400,15200,111200,507200,1500,126900,257200,1301600,2010
Idaho,1295400,7700,172700,20900,15300,N/A,24100,1538900,2010
Illinois,7988000,1759200,2010000,568700,16400,N/A,191600,12536400,2010
Indiana,5136600,557600,379400,96600,12400,N/A,105700,6289300,2010
Iowa,2616800,87100,145200,46800,5400,N/A,46700,2948200,2010
Kansas,2161600,149700,293300,67500,19000,N/A,69300,2761000,2010
Kentucky,3653400,313700,123500,48300,8100,N/A,58900,4207100,2010
Louisiana,2670900,1388800,187000,65100,25400,N/A,59900,4400400,2010
Maine,1221200,14200,14400,14900,6800,N/A,18800,1290600,2010
Maryland,3078800,1623500,462200,313600,10200,N/A,131900,5622200,2010
Massachusetts,4834300,391700,611200,336300,7100,N/A,147000,6328400,2010
Michigan,7410900,1328700,424800,233200,48300,2500,209200,9657600,2010
Minnesota,4317200,245100,241400,207400,47500,N/A,127600,5187500,2010
Mississippi,1673000,1060100,68000,26300,13000,N/A,26800,2867200,2010
Missouri,4712800,662800,204800,91100,18700,4700,107100,5802000,2010
Montana,847300,2900,26400,4600,61100,N/A,20100,962800,2010
Nebraska,1458500,73900,163500,27200,11500,N/A,34500,1771000,2010
Nevada,1433600,204500,711500,192500,23200,15600,76700,2657600,2010
New Hampshire,1175500,13800,35000,27100,2700,N/A,21400,1276000,2010
New Jersey,5119000,1085500,1536000,708800,12100,N/A,157200,8620400,2010
New Mexico,817900,33600,937600,22400,178000,N/A,28000,2018000,2010
New York,10977600,2704600,3360400,1396000,44800,6400,370200,18860000,2010
North Carolina,6042600,1926500,782500,201200,99700,3100,185600,9241100,2010
North Dakota,577700,7100,12200,7000,31500,N/A,11500,647200,2010
Ohio,9121200,1332000,341900,191100,16000,N/A,211800,11215700,2010
Oklahoma,2500900,246200,322400,61600,245900,N/A,255700,3635500,2010
Oregon,2954400,63200,441200,138300,41000,11300,114500,3764000,2010
Pennsylvania,9805100,1244900,688600,337200,11300,N/A,204100,12293700,2010
Rhode Island,771200,51600,128700,26800,N/A,N/A,28500,1009200,2010
South Carolina,2883300,1238700,220100,49900,10300,N/A,72700,4476500,2010
South Dakota,669200,9500,19400,4600,68800,N/A,15500,787000,2010
Tennessee,4689100,1018500,280800,89300,10500,N/A,96000,6186200,2010
Texas,11107500,2764300,9339100,945800,67200,13100,347400,24584400,2010
Utah,2190500,26100,353500,51700,27700,23300,51500,2724100,2010
Vermont,566500,6900,8700,7300,N/A,N/A,9000,599500,2010
Virginia,5001400,1461300,607000,424100,13400,2200,194500,7703800,2010
Washington,4778300,214600,738600,472400,82600,35700,253800,6575900,2010
West Virginia,1683100,49500,20200,10300,N/A,N/A,33600,1799000,2010
Wisconsin,4622200,330300,325800,124200,43600,1000,86300,5533400,2010
Wyoming,472000,4100,48800,3700,11400,N/A,8200,548400,2010
Puerto Rico,27600,4000,3645000,N/A,N/A,N/A,5200,3684000,2010
