Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Total,Timeframe
Alabama,3129100,1241500,184300,54100,20100,N/A,83200,4714100,2014
Alaska,437700,21000,46600,42700,98400,8200,51900,706600,2014
Arizona,3696900,256900,1998500,201900,257200,8000,136800,6556200,2014
Arkansas,2119500,441900,201400,35100,15300,9000,57800,2880000,2014
California,14533900,2044300,14716500,5264600,125700,127300,1169400,37981600,2014
Colorado,3600200,194200,1106200,149400,29600,4900,132500,5217000,2014
Connecticut,2394300,331100,525700,146300,4900,N/A,77500,3480400,2014
Delaware,578400,190300,80700,35300,3500,N/A,16800,905300,2014
District of Columbia,220500,300300,65700,22500,1600,N/A,13000,623500,2014
Florida,10815800,2965100,4716100,505500,37000,12700,378900,19431100,2014
Georgia,5334800,2992700,896200,359200,13600,6800,189600,9792900,2014
Hawaii,291900,22600,133800,503900,N/A,130400,264200,1348100,2014
Idaho,1325000,8000,193400,22600,14600,N/A,33200,1598800,2014
Illinois,7834100,1736700,2117100,645300,14800,4900,216500,12569400,2014
Indiana,5138400,579500,412800,122200,11200,N/A,121200,6386700,2014
Iowa,2620800,100300,166400,62900,7100,N/A,42300,3002100,2014
Kansas,2164000,151100,319600,70000,20200,N/A,85400,2810700,2014
Kentucky,3660900,318400,139000,52100,6200,N/A,89100,4268800,2014
Louisiana,2686700,1438500,212100,76400,22200,N/A,70600,4508500,2014
Maine,1213700,15600,15700,13400,6200,N/A,29100,1293800,2014
Maryland,3053700,1693500,546000,359600,9600,N/A,156000,5819300,2014
Massachusetts,4811900,420500,704400,392700,7800,N/A,168800,6506500,2014
Michigan,7358500,1312600,466100,270600,47400,N/A,225500,9682700,2014
Minnesota,4342500,299100,269200,248600,46700,2700,121500,5330400,2014
Mississippi,1664000,1081800,71700,21900,10300,N/A,36500,2886800,2014
Missouri,4705300,668300,223300,102200,22800,4300,144100,5870200,2014
Montana,864300,4700,32900,8100,66300,N/A,17300,993700,2014
Nebraska,1470000,82900,184300,34600,12100,N/A,39400,1823700,2014
Nevada,1435800,223000,780500,216000,24200,17900,97700,2795200,2014
New Hampshire,1174900,13900,40600,31900,N/A,N/A,23500,1286500,2014
New Jersey,4969400,1096900,1701600,807400,10000,N/A,168900,8756200,2014
New Mexico,788200,34300,973700,30500,181300,N/A,28500,2036700,2014
New York,10836700,2744600,3585700,1561500,43700,2200,442000,19216400,2014
North Carolina,6178500,2047800,865900,235200,100600,5800,199200,9632900,2014
North Dakota,616200,14300,16900,7200,44400,N/A,9400,708400,2014
Ohio,9045100,1347200,381000,211100,16200,N/A,266300,11270300,2014
Oklahoma,2518200,263900,367200,73600,272900,N/A,249600,3749500,2014
Oregon,2996700,64200,485600,154300,33100,11900,143800,3889600,2014
Pennsylvania,9659000,1286300,803900,385900,13700,N/A,217100,12368000,2014
Rhode Island,751600,54900,144300,32200,4300,N/A,26100,1013700,2014
South Carolina,2995500,1266700,246000,63700,12600,N/A,88000,4674300,2014
South Dakota,686400,12500,27100,8400,64800,N/A,21700,821600,2014
Tennessee,4766200,1053600,313600,99200,15100,1700,125400,6374800,2014
Texas,11417900,3005800,10204600,1135900,55900,15300,444600,26280100,2014
Utah,2296400,29900,386600,65900,28900,23300,60800,2891800,2014
Vermont,560600,5300,8700,12000,3400,N/A,9800,6.00E+05,2014
Virginia,5052100,1496200,707400,498800,15600,3100,232800,8006000,2014
Washington,4844800,226300,837800,539100,75100,44000,320600,6887600,2014
West Virginia,1665200,62000,21100,10700,3400,N/A,29000,1791600,2014
Wisconsin,4618400,330700,359100,147000,41500,N/A,105300,5603600,2014
Wyoming,479100,6000,55200,5400,10900,N/A,10600,568500,2014
Puerto Rico,22300,3000,3481500,N/A,N/A,N/A,4400,3514000,2014
